id,text,label,source,platform_type,language,date_collected,text_length
UG_TRUE_201,Ekitike's Quickfire Brace Flips Liverpool's Clash with Newcastle.,True,BBC News,traditional_media,English,1/31/2026,8
UG_TRUE_202,Ronaldo Hits 961st Goal in Al Nassr's 3-0 Rout of Al Kholood.,True,BBC News,traditional_media,English,1/31/2026,12
UG_TRUE_203,"Minister Muyingo’s Seeta Junior gets 56 fours as Kabojja, Greenhill, Hillside, Kampala Parents score none.",True,Daily Monitor,traditional_media,English,2/2/2026,15
UG_TRUE_204,"High Prices, Low Turnout Mark Back-to-School Rush in Kampala",True,Nile Post,traditional_media,English,2/9/2026,9
UG_TRUE_205,Auditor General Slams Pornography Control Committee Over Lack of Transparency.,True,Nile Post,traditional_media,English,2/9/2026,10
UG_TRUE_206,"Uganda's Economy Shows Resilience Amid Global Challenges, Says Finance Minister.",True,Nile Post,traditional_media,English,2/9/2026,10
UG_TRUE_207,Kyagulanyi is the 'Salt and Light of the Earth' - Balimwezo.,True,Nile Post,traditional_media,English,2/9/2026,11
UG_TRUE_208,MP Nsibambi Defends Disconnecting Village From 'My Transformer' After Election Loss.,True,Nile Post,traditional_media,English,2/9/2026,11
UG_TRUE_209,Ugandan Pastor Tells US Court He Was Tortured With a Python.,True,Nile Post,traditional_media,English,2/9/2026,11
UG_TRUE_210,Minister Kyofatogabye Hails Balimwezo’s Election as End of Kampala’s Frustration.,True,Nile Post,traditional_media,English,2/9/2026,10
UG_TRUE_211,NIRA Admits QR Codes on National IDs Not Yet Activated.,True,Nile Post,traditional_media,English,2/9/2026,10
UG_TRUE_212,Six Ugandans Detained in US Listed in 'Worst of Worst' ICE Database.,True,Nile Post,traditional_media,English,2/9/2026,12
UG_TRUE_213,"Tabaro Urges Dialogue, Warns NUP Against Extremism After Museveni–Opposition Talks.",True,Nile Post,traditional_media,English,2/9/2026,10
UG_TRUE_214,Four Arrested for Fraud Impersonating Museveni’s Daughter.,True,Nile Post,traditional_media,English,2/9/2026,7
UG_TRUE_215,Calls Grow for Independent Probe into 2025 PLE Results.,True,Nile Post,traditional_media,English,2/9/2026,9
UG_TRUE_216,Sembabule Land Row Escalates as Displaced Residents Return After Three Years.,True,Nile Post,traditional_media,English,2/9/2026,11
UG_TRUE_217,Eritrea’s Andemariam Elected Cecafa President After Magogo Withdraws.,True,Nile Post,traditional_media,English,2/9/2026,8
UG_TRUE_218,"Kenya’s Karua, African Women Leaders Condemn ‘Victimisation’ of Ugandan Women.",True,Nile Post,traditional_media,English,2/9/2026,10
UG_TRUE_219,"Spice Diana, John Blaq, Lydia Jazmine and Levixone to Light Up Comedy Store Valentine’s Special.",True,Nile Post,traditional_media,English,2/9/2026,15
UG_TRUE_220,Bad Bunny makes history as Trump criticises 'terrible' Super Bowl show.,True,Nile Post,traditional_media,English,2/9/2026,11
UG_TRUE_221,Kamuli Honours Kadaga as NRM Sweeps Local Elections.,True,Nile Post,traditional_media,English,2/9/2026,8
UG_TRUE_222,"Ruto Dismisses Azimio Revitalisation, Defends Nairobi Development Agenda.",True,Nile Post,traditional_media,English,2/9/2026,8
UG_TRUE_223,Gen Muhoozi Awarded With Second Highest Honour in Uganda’s Military.,True,Nile Post,traditional_media,English,2/7/2026,10
UG_TRUE_224,"Police Hunt for Thugs who Broke into Kampala Hotel, Killed Manager, Security Guard.",True,Nile Post,traditional_media,English,2/7/2026,13
