text,true_label,svm_pred,nb_pred,transformer_pred,svm_correct,nb_correct,transformer_correct
misleading viral video trump signing military orders unrelated nigeria,0,0,0,0,True,True,True
hoton da aka yada shafin x cewa kama mambobin ipob ko esn yi shi ne tun 2021,0,0,0,0,True,True,True
ennyonyi yeggye lya updf egudde mu somalia abantu 5 bafudde,1,1,1,1,True,True,True
abesimbyewo ku bwa president bwa uganda mu kalulu ka 2026 bakkiriziganyizza ku nteekateeka gyebalina okugoberera nga bakuba kakuyege wabwe,1,1,1,1,True,True,True
drbesigye azeemu okuzira emmere mu kkomera mukyala winnie byanyima agenze mu kooti eragire government emuyimbule,1,1,1,1,True,True,True
mcc drop 16 countries benefiting 2026 compact,0,0,0,0,True,True,True
kimenya mateeka okuwozesa abantu ba bulijjo mu kooti yamagye supreme court ya uganda eramudde,1,1,1,1,True,True,True
fake centenary banks head office kampala catch fire bank confirmed allegations fake,0,0,0,0,True,True,True
ababaka ba parliament 7 besozze nup nga wabulayo mbale okutuuka ku kalulu ka 2026,1,1,1,1,True,True,True
president museveni asonyiye ababadde bavunaanibwa ogwokubulankanya ensimbi ezaali ezokugulira ba ssentebe bebyalo eggaali,1,1,1,1,True,True,True
fake photo depict uda political rally mbeere north image taken mayuge district uganda,0,0,0,0,True,True,True
okukuza olunaku lwabakadde nga 01 october mu uganda bangi baasuulibwawo aboluganda lwabwe,1,1,1,1,True,True,True
facebook users take fake posts nigerias division dubawas factcheck,0,0,0,0,True,True,True
ugandas government invest new water supply systems improve access clean water,1,1,1,1,True,True,True
kaliddinaali robert francis prevost alondeddwa nga paapa leo xiv,1,1,1,1,True,True,True
abantu abatanamanyika muwendo bafiiridde mu muliro oguvudde ku mmotoka yamafuta e matugga,1,1,1,1,True,True,True
ebiti byabantu ebyenjawulo byongedde okuwaayo ensimbi okuyooyoota lutikko ye lubaga nabenzikiriza endala badduukiridde omulimu,1,1,1,1,True,True,True
education foundation unity progress mubaje tells muslims,1,1,0,1,True,False,True
bishop gaster nsereko atuuziddwa ngomulabirizi wa west buganda owomusanvu,1,1,1,1,True,True,True
omujaasi wa updf akubye mukyalawe amasasi agamuttiddewo,1,1,1,1,True,True,True
image apprehended terrorist linked taraba benue,0,0,0,0,True,True,True
cooking alcohol healthy,0,1,1,0,False,False,True
fake renovation siaka stevens stadium completed,0,0,0,0,True,True,True
recycled recent nigerian army photo controversy explained,0,0,0,0,True,True,True
captain denis olaa agattiddwa ku misango gyemmundu egivunaanibwa drbesigye ne obed kamulegeya,1,1,1,1,True,True,True
museveni hails tycoon nzeyis contribution ugandas economic transformation,1,1,1,1,True,True,True
bukomansimbi road crash leaves two dead three injured,1,0,0,0,False,False,False
x users video showing apprehended suicide bomber dates back 2020,0,0,0,0,True,True,True
guine des chiffres sur la rpartition ethnique en 2025 circulent sur facebook sans aucune base officielle,0,0,0,0,True,True,True
government kyaddaaki esazizaamu ebyapa byonna ebyekimpatiira ebyali byawebwa abantu ku ttaka lye kaazi liziddwayo bwakabaka bwa buganda,1,1,1,1,True,True,True
lgislatives 2025 ivoiriennes des propos du prsident de la commission lectorale indpendante modifis,0,0,0,0,True,True,True
fake video teso elders crying speaker anita among video individuals mourning death kenyas former prime minister raila odinga,0,0,0,0,True,True,True
