id,text,label,source,platform_type,language,date_collected,clean_text,label_encoded
UG_TRUE_001,The Ministry of Health confirms no outbreak of Ebola in Kampala.,TRUE,Daily Monitor,News Website,English,2025-01-10,ministry health confirms outbreak ebola kampala,1.0
UG_FAKE_001,Drinking hot water every 15 minutes kills COVID-19 virus in the body.,FAKE,AfricaCheck,Fact-Check,English,2025-01-10,drinking hot water every minute kill covid virus body,0.0
UG_FAKE_002,Government has approved free electricity for all Ugandans starting next month.,FAKE,PesaCheck,Fact-Check,English,2025-01-11,government approved free electricity ugandan starting next month,0.0
UG_TRUE_002,Parliament passes new amendment to the National ID registration law.,TRUE,New Vision,News Website,English,2025-01-11,parliament pass new amendment national id registration law,1.0
UG_TRUE_003,Museveni alisema hakuna lockdown tena nchini Uganda.,TRUE,BBC Africa,News Website,Mixed,2025-01-12,museveni alisema hakuna lockdown tena nchini uganda,1.0
UG_FAKE_003,"No, video does not show US troops arriving in Uganda to assist 2026 election campaigns.",FAKE,AFP Fact Check,Fact-Check,English,2025-19-12,video show u troop arriving uganda assist election campaign,0.0
UG_TRUE_004,Uganda to host the 2025 Africa Cup of Nations.,TRUE,CNN,News Website,English,2025-01-13,uganda host africa cup nation,1.0
UG_FAKE_004,Eating garlic prevents malaria infection.,FAKE,HealthLine,Fact-Check,English,2025-01-13,eating garlic prevents malaria infection,0.0
UG_TRUE_005,Waziri wa Afya atangaza kampeni ya chanjo ya sura ya matumbo kuanzia mwezi ujao.,TRUE,VOA Swahili,News Website,Mixed,2025-01-14,waziri wa afya atangaza kampeni ya chanjo ya sura ya matumbo kuanzia mwezi ujao,1.0
UG_TRUE_006,No evidence that 5G technology spreads COVID-19 virus.,TRUE,Reuters,News Website,English,2025-01-14,evidence g technology spread covid virus,1.0
UG_TRUE_007,Uganda's economy grows by 6% in the last quarter.,TRUE,The East African,News Website,English,2025-01-15,uganda economy grows last quarter,1.0
